iso_o,iso_d,indcode,AHS_simple
BRA,BRA,1,0
CHN,BRA,1,.078569233
EU,BRA,1,.073025778
IND,BRA,1,.086744182
JPN,BRA,1,.049858332
ROW,BRA,1,.03785257
USA,BRA,1,.064945981
BRA,CHN,1,.092700005
CHN,CHN,1,0
EU,CHN,1,.1031471
IND,CHN,1,.098535478
JPN,CHN,1,.097574681
ROW,CHN,1,.062632777
USA,CHN,1,.11037756
BRA,EU,1,.038715884
CHN,EU,1,.033983674
EU,EU,1,0
IND,EU,1,.019336455
JPN,EU,1,.039847888
ROW,EU,1,.010445
USA,EU,1,.031461481
BRA,IND,1,.28457391
CHN,IND,1,.29353821
EU,IND,1,.28779849
IND,IND,1,0
JPN,IND,1,.14721765
ROW,IND,1,.22121435
USA,IND,1,.27740845
BRA,JPN,1,.032092683
CHN,JPN,1,.021664705
EU,JPN,1,.024072392
IND,JPN,1,.0088148145
JPN,JPN,1,0
ROW,JPN,1,.016760401
USA,JPN,1,.029999409
BRA,ROW,1,.030366667
CHN,ROW,1,.052258387
EU,ROW,1,.042402137
IND,ROW,1,.044645742
JPN,ROW,1,.041051779
ROW,ROW,1,0
USA,ROW,1,.055757493
BRA,USA,1,.037342858
CHN,USA,1,.019535115
EU,USA,1,.025669185
IND,USA,1,.024141286
JPN,USA,1,.00961746
ROW,USA,1,.011378572
USA,USA,1,0
BRA,BRA,2,0
CHN,BRA,2,.070285715
EU,BRA,2,.049555555
IND,BRA,2,.055
JPN,BRA,2,.059999999
ROW,BRA,2,.038384002
USA,BRA,2,.046307694
BRA,CHN,2,.14684287
CHN,CHN,2,0
EU,CHN,2,.10707632
IND,CHN,2,.097233333
JPN,CHN,2,.10707879
ROW,CHN,2,.058907498
USA,CHN,2,.10593636
BRA,EU,2,.049078569
CHN,EU,2,.050983332
EU,EU,2,0
IND,EU,2,.036077552
JPN,EU,2,.063272096
ROW,EU,2,.021507895
USA,EU,2,.05220513
BRA,IND,2,.15000001
CHN,IND,2,.17307691
EU,IND,2,.24250001
IND,IND,2,0
JPN,IND,2,.20642857
ROW,IND,2,.16104595
USA,IND,2,.30000001
BRA,JPN,2,.055791669
CHN,JPN,2,.032186843
EU,JPN,2,.031653333
IND,JPN,2,.033299997
JPN,JPN,2,0
ROW,JPN,2,.028470967
USA,JPN,2,.033771794
BRA,ROW,2,.03463617
CHN,ROW,2,.050265655
EU,ROW,2,.034803227
IND,ROW,2,.021906741
JPN,ROW,2,.037091922
ROW,ROW,2,0
USA,ROW,2,.039272357
BRA,USA,2,.0064074076
CHN,USA,2,.0069999998
EU,USA,2,.004798485
IND,USA,2,.0048666666
JPN,USA,2,.0058571426
ROW,USA,2,.0016603604
USA,USA,2,0
BRA,BRA,3,0
CHN,BRA,3,0
EU,BRA,3,0
IND,BRA,3,0
JPN,BRA,3,0
ROW,BRA,3,0
USA,BRA,3,0
BRA,CHN,3,.015
CHN,CHN,3,0
EU,CHN,3,.030833332
IND,CHN,3,0
JPN,CHN,3,.016333334
ROW,CHN,3,.016333334
USA,CHN,3,.027222224
BRA,EU,3,0
CHN,EU,3,0
EU,EU,3,0
IND,EU,3,0
JPN,EU,3,0
ROW,EU,3,0
USA,EU,3,0
BRA,IND,3,0
CHN,IND,3,.025
EU,IND,3,.02
IND,IND,3,0
JPN,IND,3,.0208
ROW,IND,3,.0208
USA,IND,3,.02142857
BRA,JPN,3,0
CHN,JPN,3,0
EU,JPN,3,0
IND,JPN,3,0
JPN,JPN,3,0
ROW,JPN,3,0
USA,JPN,3,.0068333335
BRA,ROW,3,.0041666664
CHN,ROW,3,.0178
EU,ROW,3,.01046
IND,ROW,3,.019385714
JPN,ROW,3,.010033334
ROW,ROW,3,0
USA,ROW,3,.022869999
BRA,USA,3,0
CHN,USA,3,0
EU,USA,3,0
IND,USA,3,0
JPN,USA,3,0
ROW,USA,3,0
USA,USA,3,0
BRA,BRA,4,0
CHN,BRA,4,.037948716
EU,BRA,4,.034920637
IND,BRA,4,.038735293
JPN,BRA,4,.037
ROW,BRA,4,.026919998
USA,BRA,4,.034901962
BRA,CHN,4,.020499999
CHN,CHN,4,0
EU,CHN,4,.025086112
IND,CHN,4,.023813725
JPN,CHN,4,.029670177
ROW,CHN,4,.016341025
USA,CHN,4,.025802858
BRA,EU,4,.0002881356
CHN,EU,4,.00021518988
EU,EU,4,0
IND,EU,4,.00025373136
JPN,EU,4,.00028333336
ROW,EU,4,.000097619049
USA,EU,4,.00020731708
BRA,IND,4,.057915002
CHN,IND,4,.052711111
EU,IND,4,.05282985
IND,IND,4,0
JPN,IND,4,.018925926
ROW,IND,4,.039885331
USA,IND,4,.055445455
BRA,JPN,4,0
CHN,JPN,4,0
EU,JPN,4,.00021568628
IND,JPN,4,0
JPN,JPN,4,0
ROW,JPN,4,.00023013698
USA,JPN,4,.00025000001
BRA,ROW,4,.0044233766
CHN,ROW,4,.017864285
EU,ROW,4,.012845239
IND,ROW,4,.020824693
JPN,ROW,4,.008339474
ROW,ROW,4,0
USA,ROW,4,.02036
BRA,USA,4,.0027659091
CHN,USA,4,.0027327868
EU,USA,4,.002415942
IND,USA,4,.004274359
JPN,USA,4,.00020937501
ROW,USA,4,.0007474359
USA,USA,4,0
BRA,BRA,5,0
CHN,BRA,5,.035348836
EU,BRA,5,.032941177
IND,BRA,5,.038735293
JPN,BRA,5,.037142858
ROW,BRA,5,.024341175
USA,BRA,5,.030847456
BRA,CHN,5,.020231707
CHN,CHN,5,0
EU,CHN,5,.025205065
IND,CHN,5,.022915093
JPN,CHN,5,.02915862
ROW,CHN,5,.016154546
USA,CHN,5,.02564
BRA,EU,5,.00027419356
CHN,EU,5,.00019767442
EU,EU,5,0
IND,EU,5,.00023287673
JPN,EU,5,.00027419356
ROW,EU,5,.000086315798
USA,EU,5,.00018279572
BRA,IND,5,.05515714
CHN,IND,5,.052093104
EU,IND,5,.051227398
IND,IND,5,0
JPN,IND,5,.019535713
ROW,IND,5,.038698781
USA,IND,5,.051723074
BRA,JPN,5,0
CHN,JPN,5,0
EU,JPN,5,.00019999999
IND,JPN,5,0
JPN,JPN,5,0
ROW,JPN,5,.00021
USA,JPN,5,.0010196079
BRA,ROW,5,.0044714287
CHN,ROW,5,.017926315
EU,ROW,5,.012577895
IND,ROW,5,.020702248
JPN,ROW,5,.0085558137
ROW,ROW,5,0
USA,ROW,5,.020630209
BRA,USA,5,.0027659091
CHN,USA,5,.0025257575
EU,USA,5,.0023152777
IND,USA,5,.0039690477
JPN,USA,5,.00019705882
ROW,USA,5,.00065505615
USA,USA,5,0
BRA,BRA,6,0
CHN,BRA,6,.1203223
EU,BRA,6,.1196897
IND,BRA,6,.11092018
JPN,BRA,6,.12476666
ROW,BRA,6,.063946374
USA,BRA,6,.12015885
BRA,CHN,6,.13060534
CHN,CHN,6,0
EU,CHN,6,.13802934
IND,CHN,6,.11722385
JPN,CHN,6,.13697904
ROW,CHN,6,.082586877
USA,CHN,6,.14147891
BRA,EU,6,.076196916
CHN,EU,6,.081343405
EU,EU,6,0
IND,EU,6,.044334792
JPN,EU,6,.085766822
ROW,EU,6,.031498585
USA,EU,6,.079769537
BRA,IND,6,.23187536
CHN,IND,6,.2643795
EU,IND,6,.30319631
IND,IND,6,0
JPN,IND,6,.18256445
ROW,IND,6,.22917646
USA,IND,6,.2834062
BRA,JPN,6,.074134871
CHN,JPN,6,.059477162
EU,JPN,6,.07834778
IND,JPN,6,.043158974
JPN,JPN,6,0
ROW,JPN,6,.051178955
USA,JPN,6,.075057738
BRA,ROW,6,.055972673
CHN,ROW,6,.076957434
EU,ROW,6,.056892119
IND,ROW,6,.065769747
JPN,ROW,6,.062692977
ROW,ROW,6,0
USA,ROW,6,.073447317
BRA,USA,6,.055289689
CHN,USA,6,.038408294
EU,USA,6,.055864915
IND,USA,6,.051915616
JPN,USA,6,.040371124
ROW,USA,6,.018266169
USA,USA,6,0
BRA,BRA,7,0
CHN,BRA,7,.2600742
EU,BRA,7,.25477889
IND,BRA,7,.26492232
JPN,BRA,7,.2221128
ROW,BRA,7,.21560687
USA,BRA,7,.25362575
BRA,CHN,7,.13439821
CHN,CHN,7,0
EU,CHN,7,.12332799
IND,CHN,7,.11222108
JPN,CHN,7,.12281921
ROW,CHN,7,.073093489
USA,CHN,7,.12713587
BRA,EU,7,.07685294
CHN,EU,7,.072046801
EU,EU,7,0
IND,EU,7,.060454644
JPN,EU,7,.074239522
ROW,EU,7,.025964255
USA,EU,7,.073381297
BRA,IND,7,.094805814
CHN,IND,7,.099311322
EU,IND,7,.099672124
IND,IND,7,0
JPN,IND,7,.014359062
ROW,IND,7,.05202673
USA,IND,7,.10078475
BRA,JPN,7,.065111332
CHN,JPN,7,.053013593
EU,JPN,7,.066493325
IND,JPN,7,.00765
JPN,JPN,7,0
ROW,JPN,7,.032417368
USA,JPN,7,.06843438
BRA,ROW,7,.049097285
CHN,ROW,7,.086809009
EU,ROW,7,.036330711
IND,ROW,7,.080511183
JPN,ROW,7,.053766951
ROW,ROW,7,0
USA,ROW,7,.070485741
BRA,USA,7,.075658403
CHN,USA,7,.076613545
EU,USA,7,.076283053
IND,USA,7,.076927312
JPN,USA,7,.078691341
ROW,USA,7,.04476786
USA,USA,7,0
BRA,BRA,8,0
CHN,BRA,8,.17083333
EU,BRA,8,.1651513
IND,BRA,8,.18891717
JPN,BRA,8,.17559193
ROW,BRA,8,.13703845
USA,BRA,8,.17138213
BRA,CHN,8,.12062714
CHN,CHN,8,0
EU,CHN,8,.12116201
IND,CHN,8,.12619258
JPN,CHN,8,.12371597
ROW,CHN,8,.07050474
USA,CHN,8,.12221687
BRA,EU,8,.040450945
CHN,EU,8,.038954403
EU,EU,8,0
IND,EU,8,.014958285
JPN,EU,8,.040834971
ROW,EU,8,.017186364
USA,EU,8,.038420513
BRA,IND,8,.10050652
CHN,IND,8,.097765066
EU,IND,8,.1002994
IND,IND,8,0
JPN,IND,8,.043252874
ROW,IND,8,.055921178
USA,IND,8,.1013986
BRA,JPN,8,.067705557
CHN,JPN,8,.031867955
EU,JPN,8,.045470055
IND,JPN,8,.033403125
JPN,JPN,8,0
ROW,JPN,8,.026253514
USA,JPN,8,.046487235
BRA,ROW,8,.042580951
CHN,ROW,8,.081544951
EU,ROW,8,.037673231
IND,ROW,8,.067685187
JPN,ROW,8,.051966492
ROW,ROW,8,0
USA,ROW,8,.071217678
BRA,USA,8,.041406542
CHN,USA,8,.037453253
EU,USA,8,.036375143
IND,USA,8,.03847111
JPN,USA,8,.041772656
ROW,USA,8,.018786339
USA,USA,8,0
BRA,BRA,9,0
CHN,BRA,9,.1683552
EU,BRA,9,.16213909
IND,BRA,9,.17990303
JPN,BRA,9,.17188095
ROW,BRA,9,.13263921
USA,BRA,9,.16248341
BRA,CHN,9,.094756626
CHN,CHN,9,0
EU,CHN,9,.10087589
IND,CHN,9,.10713571
JPN,CHN,9,.10173498
ROW,CHN,9,.067941733
USA,CHN,9,.10190251
BRA,EU,9,.025928218
CHN,EU,9,.023839217
EU,EU,9,0
IND,EU,9,.015916737
JPN,EU,9,.025250001
ROW,EU,9,.010426154
USA,EU,9,.023562016
BRA,IND,9,.09505862
CHN,IND,9,.096034043
EU,IND,9,.097028688
IND,IND,9,0
JPN,IND,9,.028615817
ROW,IND,9,.057527307
USA,IND,9,.09709052
BRA,JPN,9,.004153125
CHN,JPN,9,.0036671171
EU,JPN,9,.017711297
IND,JPN,9,0
JPN,JPN,9,0
ROW,JPN,9,.0075736172
USA,JPN,9,.017442308
BRA,ROW,9,.030684616
CHN,ROW,9,.067456156
EU,ROW,9,.034122605
IND,ROW,9,.059675399
JPN,ROW,9,.042215891
ROW,ROW,9,0
USA,ROW,9,.0615023
BRA,USA,9,.020509755
CHN,USA,9,.020638332
EU,USA,9,.01989237
IND,USA,9,.024372043
JPN,USA,9,.023103921
ROW,USA,9,.010552918
USA,USA,9,0
BRA,BRA,10,0
CHN,BRA,10,.061579727
EU,BRA,10,.061742887
IND,BRA,10,.063613199
JPN,BRA,10,.061259504
ROW,BRA,10,.049487993
USA,BRA,10,.060698919
BRA,CHN,10,.060176596
CHN,CHN,10,0
EU,CHN,10,.059241902
IND,CHN,10,.059098307
JPN,CHN,10,.059535023
ROW,CHN,10,.0348377
USA,CHN,10,.059283294
BRA,EU,10,.047758602
CHN,EU,10,.048502889
EU,EU,10,0
IND,EU,10,.04643254
JPN,EU,10,.050027944
ROW,EU,10,.020138953
USA,EU,10,.048275732
BRA,IND,10,.070058584
CHN,IND,10,.069828607
EU,IND,10,.070278376
IND,IND,10,0
JPN,IND,10,.03514985
ROW,IND,10,.047264665
USA,IND,10,.07054054
BRA,JPN,10,0
CHN,JPN,10,.00069387758
EU,JPN,10,.028635696
IND,JPN,10,.0004766355
JPN,JPN,10,0
ROW,JPN,10,.015845431
USA,JPN,10,.027807541
BRA,ROW,10,.0114105
CHN,ROW,10,.022999814
EU,ROW,10,.01530316
IND,ROW,10,.02674602
JPN,ROW,10,.021807304
ROW,ROW,10,0
USA,ROW,10,.02671434
BRA,USA,10,.028880537
CHN,USA,10,.029615192
EU,USA,10,.028627271
IND,USA,10,.030140763
JPN,USA,10,.029188571
ROW,USA,10,.012401743
USA,USA,10,0
BRA,BRA,11,0
CHN,BRA,11,.093849331
EU,BRA,11,.091729783
IND,BRA,11,.087731726
JPN,BRA,11,.095436029
ROW,BRA,11,.07361868
USA,BRA,11,.090819828
BRA,CHN,11,.086469099
CHN,CHN,11,0
EU,CHN,11,.07923013
IND,CHN,11,.076592147
JPN,CHN,11,.08009661
ROW,CHN,11,.047252059
USA,CHN,11,.079144761
BRA,EU,11,.044213042
CHN,EU,11,.046882838
EU,EU,11,0
IND,EU,11,.029566059
JPN,EU,11,.047000125
ROW,EU,11,.019986559
USA,EU,11,.046752609
BRA,IND,11,.092147462
CHN,IND,11,.085145026
EU,IND,11,.094663233
IND,IND,11,0
JPN,IND,11,.04636617
ROW,IND,11,.067681797
USA,IND,11,.09581466
BRA,JPN,11,.0032694214
CHN,JPN,11,.0039615817
EU,JPN,11,.027002778
IND,JPN,11,.00060507038
JPN,JPN,11,0
ROW,JPN,11,.013701521
USA,JPN,11,.026091279
BRA,ROW,11,.021838641
CHN,ROW,11,.038128968
EU,ROW,11,.023294546
IND,ROW,11,.037614256
JPN,ROW,11,.031263389
ROW,ROW,11,0
USA,ROW,11,.039278373
BRA,USA,11,.030070089
CHN,USA,11,.0316609
EU,USA,11,.030905202
IND,USA,11,.031515207
JPN,USA,11,.031199856
ROW,USA,11,.013964175
USA,USA,11,0
BRA,BRA,12,0
CHN,BRA,12,.051344
EU,BRA,12,.053634316
IND,BRA,12,.055811476
JPN,BRA,12,.058688
ROW,BRA,12,.044072412
USA,BRA,12,.053702969
BRA,CHN,12,.051695835
CHN,CHN,12,0
EU,CHN,12,.047699999
IND,CHN,12,.047414035
JPN,CHN,12,.050482761
ROW,CHN,12,.029214118
USA,CHN,12,.047811829
BRA,EU,12,.014162903
CHN,EU,12,.018412963
EU,EU,12,0
IND,EU,12,.016080583
JPN,EU,12,.016943751
ROW,EU,12,.0089404956
USA,EU,12,.016832788
BRA,IND,12,.086666673
CHN,IND,12,.082647055
EU,IND,12,.08239796
IND,IND,12,0
JPN,IND,12,.031276595
ROW,IND,12,.060653485
USA,IND,12,.082712762
BRA,JPN,12,.0021666666
CHN,JPN,12,.00043670885
EU,JPN,12,.0087455548
IND,JPN,12,0
JPN,JPN,12,0
ROW,JPN,12,.0044144737
USA,JPN,12,.0095910253
BRA,ROW,12,.011658889
CHN,ROW,12,.018235
EU,ROW,12,.009896094
IND,ROW,12,.019314516
JPN,ROW,12,.016220184
ROW,ROW,12,0
USA,ROW,12,.016343651
BRA,USA,12,.016008822
CHN,USA,12,.013318948
EU,USA,12,.011776851
IND,USA,12,.011631818
JPN,USA,12,.012591045
ROW,USA,12,.0055495049
USA,USA,12,0
BRA,BRA,13,0
CHN,BRA,13,.17252059
EU,BRA,13,.17432342
IND,BRA,13,.16911344
JPN,BRA,13,.16211291
ROW,BRA,13,.14597993
USA,BRA,13,.17163241
BRA,CHN,13,.11585357
CHN,CHN,13,0
EU,CHN,13,.12103143
IND,CHN,13,.10705221
JPN,CHN,13,.12146394
ROW,CHN,13,.073182017
USA,CHN,13,.12151407
BRA,EU,13,.041735824
CHN,EU,13,.041845266
EU,EU,13,0
IND,EU,13,.010759286
JPN,EU,13,.042203613
ROW,EU,13,.018942807
USA,EU,13,.041845266
