iso_o,iso_d,indcode,AHS_simple
BRA,IND,13,.098470479
CHN,IND,13,.098594248
EU,IND,13,.1006062
IND,IND,13,0
JPN,IND,13,.054681577
ROW,IND,13,.06660147
USA,IND,13,.10063156
BRA,JPN,13,.030778874
CHN,JPN,13,.016263736
EU,JPN,13,.033489417
IND,JPN,13,.015425758
JPN,JPN,13,0
ROW,JPN,13,.018115273
USA,JPN,13,.032107968
BRA,ROW,13,.049635377
CHN,ROW,13,.090238601
EU,ROW,13,.044571582
IND,ROW,13,.080062106
JPN,ROW,13,.064727724
ROW,ROW,13,0
USA,ROW,13,.081980705
BRA,USA,13,.034785222
CHN,USA,13,.032483514
EU,USA,13,.032483514
IND,USA,13,.031411599
JPN,USA,13,.03238659
ROW,USA,13,.016449122
USA,USA,13,0
BRA,BRA,14,0
CHN,BRA,14,.11002721
EU,BRA,14,.10970512
IND,BRA,14,.11823027
JPN,BRA,14,.11376595
ROW,BRA,14,.092939995
USA,BRA,14,.10863889
BRA,CHN,14,.12012
CHN,CHN,14,0
EU,CHN,14,.12410375
IND,CHN,14,.11866942
JPN,CHN,14,.12432338
ROW,CHN,14,.076672047
USA,CHN,14,.1242961
BRA,EU,14,.035558518
CHN,EU,14,.033696912
EU,EU,14,0
IND,EU,14,.010745752
JPN,EU,14,.034825999
ROW,EU,14,.015770731
USA,EU,14,.033570807
BRA,IND,14,.095444441
CHN,IND,14,.093125321
EU,IND,14,.09340696
IND,IND,14,0
JPN,IND,14,.039966054
ROW,IND,14,.057053205
USA,IND,14,.093944609
BRA,JPN,14,0
CHN,JPN,14,.0012260274
EU,JPN,14,.011034228
IND,JPN,14,.00064062508
JPN,JPN,14,0
ROW,JPN,14,.0042591835
USA,JPN,14,.011212409
BRA,ROW,14,.033537887
CHN,ROW,14,.069615856
EU,ROW,14,.039367072
IND,ROW,14,.063733131
JPN,ROW,14,.046926543
ROW,ROW,14,0
USA,ROW,14,.059867684
BRA,USA,14,.036762375
CHN,USA,14,.032398064
EU,USA,14,.031719621
IND,USA,14,.034718111
JPN,USA,14,.033902962
ROW,USA,14,.016588051
USA,USA,14,0
BRA,BRA,15,0
CHN,BRA,15,.10401095
EU,BRA,15,.097312614
IND,BRA,15,.10897346
JPN,BRA,15,.10723916
ROW,BRA,15,.084718771
USA,BRA,15,.096573181
BRA,CHN,15,.05187818
CHN,CHN,15,0
EU,CHN,15,.051654026
IND,CHN,15,.053760454
JPN,CHN,15,.051945399
ROW,CHN,15,.031231461
USA,CHN,15,.051762987
BRA,EU,15,.014044276
CHN,EU,15,.014954521
EU,EU,15,0
IND,EU,15,.01556557
JPN,EU,15,.015084524
ROW,EU,15,.0069587785
USA,EU,15,.014328792
BRA,IND,15,.073341176
CHN,IND,15,.081230603
EU,IND,15,.080429748
IND,IND,15,0
JPN,IND,15,.012603321
ROW,IND,15,.049235817
USA,IND,15,.078118473
BRA,JPN,15,.0043535717
CHN,JPN,15,.0049429466
EU,JPN,15,.0099622952
IND,JPN,15,.00025416666
JPN,JPN,15,0
ROW,JPN,15,.0050551724
USA,JPN,15,.0091361115
BRA,ROW,15,.015016321
CHN,ROW,15,.032214068
EU,ROW,15,.017640609
IND,ROW,15,.035598949
JPN,ROW,15,.021529896
ROW,ROW,15,0
USA,ROW,15,.029279495
BRA,USA,15,.010804712
CHN,USA,15,.012304953
EU,USA,15,.011366577
IND,USA,15,.013252134
JPN,USA,15,.01149391
ROW,USA,15,.0050492226
USA,USA,15,0
BRA,BRA,16,0
CHN,BRA,16,.15699448
EU,BRA,16,.15814847
IND,BRA,16,.15919609
JPN,BRA,16,.15823701
ROW,BRA,16,.13333359
USA,BRA,16,.15802164
BRA,CHN,16,.10678305
CHN,CHN,16,0
EU,CHN,16,.11321399
IND,CHN,16,.10911103
JPN,CHN,16,.1133622
ROW,CHN,16,.070017315
USA,CHN,16,.11269093
BRA,EU,16,.02601821
CHN,EU,16,.025858765
EU,EU,16,0
IND,EU,16,.015370437
JPN,EU,16,.025818022
ROW,EU,16,.01198456
USA,EU,16,.025747059
BRA,IND,16,.09128616
CHN,IND,16,.091569401
EU,IND,16,.093365908
IND,IND,16,0
JPN,IND,16,.035148751
ROW,IND,16,.061666407
USA,IND,16,.093415529
BRA,JPN,16,.0022898735
CHN,JPN,16,.0020538464
EU,JPN,16,.013855357
IND,JPN,16,0
JPN,JPN,16,0
ROW,JPN,16,.0053543304
USA,JPN,16,.014288
BRA,ROW,16,.035225887
CHN,ROW,16,.067672551
EU,ROW,16,.03645147
IND,ROW,16,.062949874
JPN,ROW,16,.051019903
ROW,ROW,16,0
USA,ROW,16,.063235782
BRA,USA,16,.020364963
CHN,USA,16,.020208662
EU,USA,16,.020024547
IND,USA,16,.020487769
JPN,USA,16,.020270774
ROW,USA,16,.0091641089
USA,USA,16,0
BRA,BRA,17,0
CHN,BRA,17,.1368909
EU,BRA,17,.13369925
IND,BRA,17,.13135357
JPN,BRA,17,.13381615
ROW,BRA,17,.11479813
USA,BRA,17,.13205643
BRA,CHN,17,.066492416
CHN,CHN,17,0
EU,CHN,17,.079587385
IND,CHN,17,.069600768
JPN,CHN,17,.080413789
ROW,CHN,17,.048567563
USA,CHN,17,.077406637
BRA,EU,17,.027341951
CHN,EU,17,.030045759
EU,EU,17,0
IND,EU,17,.0030266175
JPN,EU,17,.029715
ROW,EU,17,.014358713
USA,EU,17,.030162675
BRA,IND,17,.075444154
CHN,IND,17,.079038888
EU,IND,17,.081203163
IND,IND,17,0
JPN,IND,17,.0374
ROW,IND,17,.055615798
USA,IND,17,.081132606
BRA,JPN,17,.00068142853
CHN,JPN,17,.00036832062
EU,JPN,17,.0088822022
IND,JPN,17,.0003236559
JPN,JPN,17,0
ROW,JPN,17,.0035541437
USA,JPN,17,.0089552682
BRA,ROW,17,.025651472
CHN,ROW,17,.04953064
EU,ROW,17,.026008923
IND,ROW,17,.0413686
JPN,ROW,17,.039204217
ROW,ROW,17,0
USA,ROW,17,.049642593
BRA,USA,17,.016892819
CHN,USA,17,.019015888
EU,USA,17,.018934982
IND,USA,17,.017666893
JPN,USA,17,.018887097
ROW,USA,17,.0084544811
USA,USA,17,0
BRA,BRA,18,0
CHN,BRA,18,.14283529
EU,BRA,18,.14256991
IND,BRA,18,.14048848
JPN,BRA,18,.14146745
ROW,BRA,18,.12178487
USA,BRA,18,.14253999
BRA,CHN,18,.082557589
CHN,CHN,18,0
EU,CHN,18,.094323114
IND,CHN,18,.078949086
JPN,CHN,18,.09412346
ROW,CHN,18,.058514375
USA,CHN,18,.091714621
BRA,EU,18,.02634092
CHN,EU,18,.026974849
EU,EU,18,0
IND,EU,18,.0020141935
JPN,EU,18,.026937628
ROW,EU,18,.013063783
USA,EU,18,.026974849
BRA,IND,18,.073944196
CHN,IND,18,.079707943
EU,IND,18,.080904864
IND,IND,18,0
JPN,IND,18,.039570067
ROW,IND,18,.056121193
USA,IND,18,.080748111
BRA,JPN,18,.00011063829
CHN,JPN,18,.000055793989
EU,JPN,18,.0067836135
IND,JPN,18,1.3574661e-06
JPN,JPN,18,0
ROW,JPN,18,.0025842437
USA,JPN,18,.0069758771
BRA,ROW,18,.026056595
CHN,ROW,18,.051044669
EU,ROW,18,.027826559
IND,ROW,18,.045182392
JPN,ROW,18,.041096982
ROW,ROW,18,0
USA,ROW,18,.05094004
BRA,USA,18,.020441642
CHN,USA,18,.021397352
EU,USA,18,.021443751
IND,USA,18,.021003816
JPN,USA,18,.021514917
ROW,USA,18,.010277575
USA,USA,18,0
BRA,BRA,19,0
CHN,BRA,19,.14013323
EU,BRA,19,.1373785
IND,BRA,19,.13985267
JPN,BRA,19,.13905901
ROW,BRA,19,.11773512
USA,BRA,19,.13740048
BRA,CHN,19,.08917737
CHN,CHN,19,0
EU,CHN,19,.095906146
IND,CHN,19,.089125164
JPN,CHN,19,.0969899
ROW,CHN,19,.058982402
USA,CHN,19,.093578815
BRA,EU,19,.023447515
CHN,EU,19,.02447583
EU,EU,19,0
IND,EU,19,.0056344699
JPN,EU,19,.024395525
ROW,EU,19,.011733587
USA,EU,19,.024528522
BRA,IND,19,.082998104
CHN,IND,19,.087965123
EU,IND,19,.090164758
IND,IND,19,0
JPN,IND,19,.040438086
ROW,IND,19,.059333481
USA,IND,19,.089056343
BRA,JPN,19,.0011601594
CHN,JPN,19,.00084214559
EU,JPN,19,.0051643117
IND,JPN,19,.0001993976
JPN,JPN,19,0
ROW,JPN,19,.0021629119
USA,JPN,19,.0051892754
BRA,ROW,19,.026438236
CHN,ROW,19,.050388608
EU,ROW,19,.02751578
IND,ROW,19,.046353444
JPN,ROW,19,.040570356
ROW,ROW,19,0
USA,ROW,19,.049344134
BRA,USA,19,.013934927
CHN,USA,19,.014929636
EU,USA,19,.014970354
IND,USA,19,.014669069
JPN,USA,19,.015202917
ROW,USA,19,.0071438355
USA,USA,19,0
BRA,BRA,20,0
CHN,BRA,20,.18279499
EU,BRA,20,.19670951
IND,BRA,20,.16529028
JPN,BRA,20,.17604929
ROW,BRA,20,.13629326
USA,BRA,20,.189145
BRA,CHN,20,.072736919
CHN,CHN,20,0
EU,CHN,20,.09553913
IND,CHN,20,.076267473
JPN,CHN,20,.096688576
ROW,CHN,20,.069515735
USA,CHN,20,.097617432
BRA,EU,20,.040311649
CHN,EU,20,.042927049
EU,EU,20,0
IND,EU,20,.022839816
JPN,EU,20,.043259505
ROW,EU,20,.018325396
USA,EU,20,.045003198
BRA,IND,20,.1070291
CHN,IND,20,.17423396
EU,IND,20,.21434523
IND,IND,20,0
JPN,IND,20,.182869
ROW,IND,20,.18067208
USA,IND,20,.18656603
BRA,JPN,20,.00050600001
CHN,JPN,20,.00048018864
EU,JPN,20,.0021264956
IND,JPN,20,.00012077922
JPN,JPN,20,0
ROW,JPN,20,.00075486727
USA,JPN,20,.0021824562
BRA,ROW,20,.047315966
CHN,ROW,20,.082516804
EU,ROW,20,.042860318
IND,ROW,20,.076256797
JPN,ROW,20,.074950002
ROW,ROW,20,0
USA,ROW,20,.07648889
BRA,USA,20,.017423404
CHN,USA,20,.015763478
EU,USA,20,.021474194
IND,USA,20,.010302174
JPN,USA,20,.020110345
ROW,USA,20,.0088432003
USA,USA,20,0
BRA,BRA,21,0
CHN,BRA,21,.15999281
EU,BRA,21,.15347199
IND,BRA,21,.16651297
JPN,BRA,21,.16455391
ROW,BRA,21,.13172778
USA,BRA,21,.15278263
BRA,CHN,21,.092908531
CHN,CHN,21,0
EU,CHN,21,.11351309
IND,CHN,21,.11699776
JPN,CHN,21,.12005568
ROW,CHN,21,.067187563
USA,CHN,21,.11040947
BRA,EU,21,.026292818
CHN,EU,21,.026485281
EU,EU,21,0
IND,EU,21,.0089312503
JPN,EU,21,.027154066
ROW,EU,21,.012339749
USA,EU,21,.026142061
BRA,IND,21,.088024072
CHN,IND,21,.12353039
EU,IND,21,.12722582
IND,IND,21,0
JPN,IND,21,.067078173
ROW,IND,21,.080686666
USA,IND,21,.12087499
BRA,JPN,21,.0032958335
CHN,JPN,21,.0033860963
EU,JPN,21,.015727829
IND,JPN,21,.00010689655
JPN,JPN,21,0
ROW,JPN,21,.0056720376
USA,JPN,21,.015509279
BRA,ROW,21,.034764055
CHN,ROW,21,.074892052
EU,ROW,21,.036428872
IND,ROW,21,.063930571
JPN,ROW,21,.05301021
ROW,ROW,21,0
USA,ROW,21,.06753473
BRA,USA,21,.015740741
CHN,USA,21,.019592157
EU,USA,21,.017865438
IND,USA,21,.019921428
JPN,USA,21,.02019785
ROW,USA,21,.0086356523
USA,USA,21,0
BRA,BRA,22,0
CHN,BRA,22,.16704382
EU,BRA,22,.16289957
IND,BRA,22,.16839497
JPN,BRA,22,.1454013
ROW,BRA,22,.14302425
USA,BRA,22,.1584287
BRA,CHN,22,.092206806
CHN,CHN,22,0
EU,CHN,22,.10138002
IND,CHN,22,.094364844
JPN,CHN,22,.1031708
ROW,CHN,22,.062889278
USA,CHN,22,.10060633
BRA,EU,22,.037496381
CHN,EU,22,.036188006
EU,EU,22,0
IND,EU,22,.01925613
JPN,EU,22,.036465187
ROW,EU,22,.015396854
USA,EU,22,.035940148
BRA,IND,22,.081572816
CHN,IND,22,.085395686
EU,IND,22,.086580656
IND,IND,22,0
JPN,IND,22,.032735676
ROW,IND,22,.054643985
USA,IND,22,.086281374
BRA,JPN,22,.020072287
CHN,JPN,22,.014576274
EU,JPN,22,.02063651
IND,JPN,22,.0027540263
JPN,JPN,22,0
ROW,JPN,22,.0096240565
USA,JPN,22,.020221226
BRA,ROW,22,.034014065
CHN,ROW,22,.063295059
EU,ROW,22,.030898264
IND,ROW,22,.057695717
JPN,ROW,22,.045143463
ROW,ROW,22,0
USA,ROW,22,.057972379
BRA,USA,22,.031184459
CHN,USA,22,.029837735
EU,USA,22,.029188924
IND,USA,22,.031385645
JPN,USA,22,.030262761
ROW,USA,22,.015586425
USA,USA,22,0
BRA,BRA,23,0
CHN,BRA,23,0
EU,BRA,23,0
IND,BRA,23,0
JPN,BRA,23,0
ROW,BRA,23,0
USA,BRA,23,0
BRA,CHN,23,0
CHN,CHN,23,0
EU,CHN,23,0
IND,CHN,23,0
JPN,CHN,23,0
ROW,CHN,23,0
USA,CHN,23,0
BRA,EU,23,0
CHN,EU,23,0
EU,EU,23,0
IND,EU,23,0
JPN,EU,23,0
ROW,EU,23,0
USA,EU,23,0
BRA,IND,23,0
CHN,IND,23,0
EU,IND,23,0
IND,IND,23,0
JPN,IND,23,0
ROW,IND,23,0
USA,IND,23,0
BRA,JPN,23,0
CHN,JPN,23,0
EU,JPN,23,0
IND,JPN,23,0
JPN,JPN,23,0
ROW,JPN,23,0
USA,JPN,23,0
BRA,ROW,23,0
CHN,ROW,23,0
EU,ROW,23,0
IND,ROW,23,0
JPN,ROW,23,0
ROW,ROW,23,0
USA,ROW,23,0
BRA,USA,23,0
CHN,USA,23,0
EU,USA,23,0
IND,USA,23,0
JPN,USA,23,0
ROW,USA,23,0
USA,USA,23,0
BRA,BRA,24,0
CHN,BRA,24,0
EU,BRA,24,0
IND,BRA,24,0
JPN,BRA,24,0
ROW,BRA,24,0
USA,BRA,24,0
BRA,CHN,24,0
CHN,CHN,24,0
EU,CHN,24,0
IND,CHN,24,0
JPN,CHN,24,0
ROW,CHN,24,0
USA,CHN,24,0
BRA,EU,24,0
CHN,EU,24,0
EU,EU,24,0
IND,EU,24,0
JPN,EU,24,0
ROW,EU,24,0
USA,EU,24,0
BRA,IND,24,0
CHN,IND,24,0
EU,IND,24,0
IND,IND,24,0
JPN,IND,24,0
ROW,IND,24,0
USA,IND,24,0
BRA,JPN,24,0
CHN,JPN,24,0
EU,JPN,24,0
IND,JPN,24,0
JPN,JPN,24,0
ROW,JPN,24,0
USA,JPN,24,0
BRA,ROW,24,0
CHN,ROW,24,0
EU,ROW,24,0
IND,ROW,24,0
JPN,ROW,24,0
ROW,ROW,24,0
USA,ROW,24,0
BRA,USA,24,0
CHN,USA,24,0
EU,USA,24,0
IND,USA,24,0
JPN,USA,24,0
ROW,USA,24,0
USA,USA,24,0
BRA,BRA,25,0
CHN,BRA,25,0
EU,BRA,25,0
IND,BRA,25,0
JPN,BRA,25,0
ROW,BRA,25,0
USA,BRA,25,0
BRA,CHN,25,0
CHN,CHN,25,0
EU,CHN,25,0
IND,CHN,25,0
JPN,CHN,25,0
ROW,CHN,25,0
USA,CHN,25,0
BRA,EU,25,0
CHN,EU,25,0
EU,EU,25,0
IND,EU,25,0
JPN,EU,25,0
ROW,EU,25,0
USA,EU,25,0
BRA,IND,25,0
CHN,IND,25,0
EU,IND,25,0
IND,IND,25,0
JPN,IND,25,0
ROW,IND,25,0
USA,IND,25,0
BRA,JPN,25,0
CHN,JPN,25,0
EU,JPN,25,0
IND,JPN,25,0
JPN,JPN,25,0
ROW,JPN,25,0
USA,JPN,25,0
BRA,ROW,25,0
CHN,ROW,25,0
EU,ROW,25,0
IND,ROW,25,0
JPN,ROW,25,0
ROW,ROW,25,0
USA,ROW,25,0
BRA,USA,25,0
CHN,USA,25,0
EU,USA,25,0
IND,USA,25,0
JPN,USA,25,0
ROW,USA,25,0
USA,USA,25,0
BRA,BRA,26,0
CHN,BRA,26,0
EU,BRA,26,0
IND,BRA,26,0
JPN,BRA,26,0
ROW,BRA,26,0
USA,BRA,26,0
BRA,CHN,26,0
CHN,CHN,26,0
EU,CHN,26,0
IND,CHN,26,0
JPN,CHN,26,0
ROW,CHN,26,0
USA,CHN,26,0
BRA,EU,26,0
CHN,EU,26,0
EU,EU,26,0
IND,EU,26,0
